PubID,StreetAddress,Area,TradingName,NumberOfPatrons,Xcoordinate,Ycoordinate
293,419-429 Collins Street,Melbourne (CBD),Ms Collins,850,144.9606531,-37.81752882
294,281-287 Swanston Street,Melbourne (CBD),Mui Karaoke,243,144.9643593,-37.81143223
295,29-65 South Wharf Promenade,Southbank,Munich Brau Haus,1100,144.9503336,-37.82409303
296,314-336 Bourke Street,Melbourne (CBD),Mural Hall,900,144.9638295,-37.81344503
297,15-19 Warburton Lane,Melbourne (CBD),Murmur,50,144.9618462,-37.81381239
298,547-549 Elizabeth Street,North Melbourne,Music Box  - Karaoke Bar,150,144.9584784,-37.80538132
299,547-549 Elizabeth Street,North Melbourne,Musicbox  - Karaoke Bar,150,144.9584784,-37.80538132
300,318-322 Little Bourke Street,Melbourne (CBD),NANT Whisky Bar,32,144.9631276,-37.81292437
301,43-49 Royal Parade,Parkville,Naughtons Hotel,120,144.9575345,-37.79554181
302,546-566 Collins Street,Melbourne (CBD),Nero Bar,80,144.9558446,-37.81824465
303,85-161 Spencer Street,Docklands,Network Public Bar & Pizzeria,325,144.9523393,-37.81815358
304,318-322 Little Collins Street,Melbourne (CBD),New Guernica,380,144.9640121,-37.81488174
305,242-244 Little Bourke Street,Melbourne (CBD),NG Karaoke Bar,334,144.965603,-37.81213633
306,106-112 Hardware Street,Melbourne (CBD),Nieuw Amsterdam,200,144.9606805,-37.81213605
307,8 Whiteman Street,Southbank,No. 8 by John Lawson,40,144.9586604,-37.82312164
308,196-200 A'Beckett Street,Melbourne (CBD),Nomads Industry Backpackers,200,144.9574447,-37.80998494
309,204-206 Arden Street,North Melbourne,North Melbourne Football Club Social Club,210,144.9413118,-37.79905531
310,8 Whiteman Street,Southbank,Number 8,200,144.9586604,-37.82312164
311,54-60 Market Street,Melbourne (CBD),Oaks on Market,45,144.9608283,-37.81778076
312,33-39 Little Lonsdale Street,Melbourne (CBD),Oddfellows Hotel,400,144.9707325,-37.8091842
313,174-184 City Road,Southbank,Olla Messa,100,144.9618918,-37.82382188
314,27-37 Russell Street,Melbourne (CBD),Ondergronds,250,144.9692478,-37.81598754
315,27-37 Russell Street,Melbourne (CBD),Ondergronds Pty Ltd,250,144.9692478,-37.81598754
316,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub,350,144.9662623,-37.82066923
317,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub & Side Bar,550,144.9662623,-37.82066923
318,480-490 Collins Street,Melbourne (CBD),Paloma,80,144.9579514,-37.8176551
319,91-93 Flinders Lane,Melbourne (CBD),Papa Goose,440,144.9712228,-37.81543506
320,4-6 Goldie Place,Melbourne (CBD),Paris Cat Jazz Club,200,144.9608287,-37.81351769
321,183-265 La Trobe Street,Melbourne (CBD),Partyworld,500,144.9630189,-37.81073331
